rodada_id,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,resultado
21,53.38,86.09,3.9,401.2000000000001,238.4,39.81,24.33,-3.47,266.3,198.3,vitoria_mandante
21,55.88,68.4,6.24,348.8,264.2,52.17,62.51,5.01,334.5,122.5,empate
21,50.21,22.47,-0.4800000000000001,324.90000000000003,154.1,63.63,60.67,2.1,381.4,332.4,vitoria_visitante
21,44.08,41.69,-2.0700000000000003,324.4,191.1,56.4,48.11,-0.5100000000000002,390.6,253.6,vitoria_mandante
21,58.05,85.0,1.4699999999999998,311.5,278.5,54.06,35.56,-1.41,505.9,224.3,vitoria_mandante
21,50.48,72.0,5.790000000000001,362.7,271.79999999999995,49.36,28.58,-1.61,324.1,233.3,empate
21,57.17,33.27,-5.32,454.9,282.8,48.63,78.89,8.89,186.2,169.70000000000002,vitoria_visitante
21,54.75,43.42,-0.2999999999999999,282.5,198.5,65.07,54.55,1.0499999999999998,388.3,369.4,empate
21,53.13,73.44,2.02,381.1,281.1,55.95,24.87,-9.82,390.5,261.6,vitoria_mandante
21,64.57,45.16,-8.09,424.1,301.7,52.78,57.85,-3.4400000000000004,273.8,307.5,vitoria_visitante
