rodada_id,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,resultado
33,50.33,37.2,-3.15,593.9,404.0,62.5,53.91,-3.5500000000000003,696.1999999999999,397.9,vitoria_visitante
33,71.82000000000001,81.05,-2.67,795.5,568.8,43.06,57.38,1.95,385.0,443.5,empate
33,56.49,63.84,3.72,648.8,544.3,49.96,44.4,2.52,669.1,338.5,vitoria_mandante
33,67.43,112.49,4.46,803.0,497.9,49.59,24.11,-2.8200000000000003,481.2,550.6,vitoria_mandante
33,48.98,68.18,0.3899999999999999,529.0,398.6,53.66,74.4,1.31,513.0,439.6,empate
33,58.68,68.85,6.61,628.9,358.7,54.01,47.45,1.6700000000000002,685.3,418.9,vitoria_mandante
33,63.28,57.07,-7.25,778.9,352.3,46.23,29.78,-3.22,451.6,341.1,vitoria_mandante
