rodada_id,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,resultado
30,59.07,36.22,-9.24,455.7,375.2,51.2,81.18,1.5699999999999998,493.6,391.1,vitoria_visitante
30,65.03999999999999,83.91,4.01,661.4,371.5,57.79,63.82,2.54,630.5,336.0,vitoria_mandante
30,59.56,104.96,11.1,642.2,286.9,53.68,29.56,-3.5700000000000003,479.1,490.3,vitoria_mandante
30,56.35,28.69,-3.37,614.0,429.3,40.7,50.84,2.06,357.7,269.7,empate
30,37.89,49.42,0.46,306.9,299.4,41.77,60.11,-0.3000000000000001,372.9,368.7,empate
30,67.23,44.51,-5.21,617.6,390.2,49.82,42.22,-6.27,552.6,371.2,empate
30,50.5,67.0,3.02,537.9,390.2,45.18,33.050000000000004,-3.63,405.6,323.9,vitoria_mandante
30,60.72,82.27,4.65,525.8000000000001,299.0,61.02,36.87,-6.25,484.9,324.1,vitoria_mandante
30,49.22,42.76,-0.86,471.7,443.7,59.22,40.15,1.62,758.9000000000001,471.2,empate
30,63.92,82.25,4.85,614.9,303.7,72.73,87.17999999999999,2.8,736.2,637.0,vitoria_visitante
