rodada_id,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,resultado
24,66.6,127.65,12.16,535.0,451.9,35.11,18.4,-2.81,299.8,192.7,vitoria_mandante
24,47.95,44.07,-1.47,468.4,241.4,68.48,79.65,3.91,355.2,290.3,vitoria_visitante
24,54.32,71.35,-2.68,513.9,375.8,63.25,62.4,-2.26,461.8,354.3,empate
24,64.39,81.84,3.6,547.3,428.5,60.76,31.76,-7.85,462.5,331.0,vitoria_mandante
24,53.64,49.44,0.5000000000000002,397.2,260.7,49.98,23.24,-6.16,489.3,297.7,vitoria_mandante
24,60.38,91.13,8.11,320.2,214.3,57.91,44.84,-3.62,361.2,369.3,vitoria_mandante
24,66.27,43.65,-0.1499999999999998,457.8,373.1,43.99,48.98,1.85,251.7,205.8,vitoria_mandante
24,51.69,31.53,-3.76,327.6,275.7,53.06,83.47,5.98,311.3,247.6,vitoria_visitante
24,54.27,53.25,-1.2700000000000002,428.7,381.9,55.33,29.51,-2.7,464.1,283.3,vitoria_mandante
