rodada_id,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,resultado
7,38.59,23.67,-5.24,104.5,56.4,32.84,89.36,14.11,77.7,57.4,vitoria_visitante
7,44.13,24.22,-4.41,86.2,74.0,59.12,102.56,12.77,155.9,122.3,vitoria_visitante
7,22.67,25.96,0.4399999999999998,38.1,33.8,64.03,67.98,0.6899999999999991,127.7,107.9,vitoria_visitante
7,49.34,39.38,-4.95,157.4,63.1,45.92,38.510000000000005,-1.4400000000000002,113.3,72.8,empate
7,49.54,30.22,-5.08,92.9,56.3,55.45,66.13,0.7399999999999995,145.4,165.3,vitoria_visitante
7,53.06,30.87,-7.01,180.7,89.9,56.82,33.6,-7.68,170.5,126.3,empate
7,35.99,27.71,-6.59,127.4,74.3,77.24000000000001,123.95,11.29,254.4,98.8,vitoria_visitante
7,78.31,98.64,10.95,154.8,145.9,47.33,24.11,-8.13,136.1,81.0,vitoria_mandante
7,66.2,81.31,7.18,139.3,119.2,58.54,18.98,-10.02,150.2,149.29999999999998,vitoria_mandante
7,56.63,43.75,-1.38,153.1,140.5,63.67,76.6,3.91,193.5,139.4,vitoria_visitante
