rodada_id,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,resultado
18,68.34,52.6,-2.87,515.7,222.8,44.04,40.05,0.0999999999999998,278.3,202.6,vitoria_mandante
18,65.16,77.04,0.2500000000000001,444.9,336.5,48.51,28.91,-1.68,231.7,180.7,vitoria_mandante
18,48.75,90.13,10.03,236.0,185.2,45.46,15.49,-3.42,327.6,194.8,vitoria_mandante
18,50.34,28.16,-3.84,413.7000000000001,211.3,66.94,84.47,6.300000000000001,364.0,276.0,vitoria_visitante
18,61.19,81.84,8.07,368.4,174.99999999999997,54.85,30.87,-8.27,360.1,328.1,vitoria_mandante
18,57.36,83.58,6.37,322.4,251.4,59.55,34.91,-1.66,412.0,265.4,vitoria_mandante
18,58.59,52.38,-1.4900000000000002,421.6,284.0,40.21,22.58,-4.0,274.8,188.8,vitoria_mandante
18,62.6,65.78,-1.1699999999999997,352.9,300.9,57.71,55.85,-0.0400000000000002,359.29999999999995,213.9,empate
18,42.35,32.51,-1.4899999999999998,227.3,191.4,49.42,78.51,4.71,257.3,161.5,vitoria_visitante
18,65.88,88.38,6.67,382.0,387.7,51.870000000000005,15.6,-10.59,370.1,228.3,vitoria_mandante
