rodada_id,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,resultado
26,39.26,21.93,-3.88,352.8,186.2,52.2,80.2,6.720000000000001,523.5,309.7,vitoria_visitante
26,51.2,49.75,0.89,507.3,263.8,66.36,50.29,5.68,529.7,364.6,empate
26,46.72,42.55,-3.02,377.3,215.7,61.55,54.0,-0.73,358.1,285.6,empate
26,67.97,55.0,3.08,483.8,287.4,57.86,43.09,-6.460000000000001,407.3,347.4,vitoria_mandante
26,71.79,107.69,1.5500000000000005,707.3,511.3,44.82,24.65,-2.03,497.7,206.4,vitoria_mandante
26,56.28,40.91,0.89,494.6,321.5,58.06,39.6,-5.01,472.8,461.3,empate
26,59.29,21.38,-7.15,451.6,415.1,62.73,81.95,11.13,249.0,251.5,vitoria_visitante
26,58.81,112.27,12.76,612.7,439.0,51.89,26.07,-8.67,456.0,224.3,vitoria_mandante
26,63.53,60.67,-3.56,523.8,355.9,45.05,40.04,-2.66,359.90000000000003,277.0,vitoria_mandante
26,62.96,101.25,4.37,436.8,294.2,40.6,23.35,-3.83,332.6,278.0,vitoria_mandante
