rodada_id,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,resultado
38,52.15,27.490000000000002,-2.84,645.1,318.2,68.1,97.97999999999999,0.6599999999999999,910.6,513.5,vitoria_visitante
38,63.89,78.91,6.95,689.1,419.09999999999997,54.86,32.18,-2.3200000000000003,673.8,453.4,vitoria_mandante
38,63.08,81.09,5.13,950.3000000000001,442.9,38.89,22.8,-6.58,466.6,398.7,vitoria_mandante
38,70.93,61.2,-6.05,834.2,555.0,51.58,55.199999999999996,1.02,674.0,585.5,empate
38,62.54,55.330000000000005,-1.7200000000000002,737.7,476.29999999999995,41.62,43.089999999999996,2.87,270.1,294.9,vitoria_mandante
38,71.41,44.51,-5.17,1002.1,719.3,55.96,82.16,3.19,522.0,529.4,vitoria_visitante
38,54.44,80.75,4.09,668.4,470.4,44.11,30.44,-1.69,558.1,417.9,vitoria_mandante
38,63.54,90.78,9.379999999999999,744.3,607.5999999999999,50.97,21.49,-2.87,482.3,376.3,vitoria_mandante
38,32.59,36.11,1.03,316.0,277.1,53.58,61.0,-3.77,567.8,449.2,vitoria_visitante
38,55.03,25.8,-5.69,767.5,404.5,52.16,63.95,4.78,558.1,467.49999999999994,vitoria_mandante
