rodada_id,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,resultado
29,50.91,106.6,11.35,532.2,377.9,44.25,38.84,-3.74,399.9,242.0,vitoria_mandante
29,54.46,92.64,7.21,468.1,382.5,59.57,48.65,-2.26,509.7000000000001,492.9,vitoria_mandante
29,46.29,61.36,1.64,445.9,288.4,78.57,72.44,-0.3700000000000003,806.3,643.3,empate
29,57.14,47.67,-0.41,579.6,388.8,66.77,69.18,-0.6400000000000005,585.5,433.4,vitoria_visitante
29,55.27,54.65,2.9,442.4,341.9,54.82,58.8,1.3,606.3,372.5,empate
29,43.21,78.56,6.96,370.0,370.6,52.97,13.09,-9.1,510.6,274.9,vitoria_mandante
29,61.1,53.24,-0.7900000000000001,553.7,439.3,54.32,52.58,-0.9000000000000001,474.8,246.4,empate
29,53.11,16.6,-9.76,623.6,452.3,71.67,85.44,1.27,546.3,420.6,vitoria_visitante
29,59.79,70.33,1.3100000000000005,455.8,255.8,58.41,34.47,-7.56,533.1,383.7,vitoria_mandante
29,50.75,47.02,-0.2299999999999998,439.5,438.3,54.89,58.25,2.42,505.8,338.0,empate
