rodada_id,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,resultado
23,51.76,50.18,-2.8000000000000003,375.5,221.1,41.58,39.16,0.75,262.5,240.2,empate
23,47.14,38.62,-4.7,266.2,180.0,52.39,97.44,1.14,504.4,321.1,vitoria_visitante
23,51.59,40.15,-2.7,385.0,153.5,58.48,57.18,-1.7599999999999998,443.0,349.2,vitoria_visitante
23,49.11,61.53,3.14,458.0,204.5,53.79,72.02,1.1900000000000006,344.7,424.8,empate
23,65.29,48.67,-1.86,593.3,356.5,68.08,38.73,-9.73,559.5,296.0,vitoria_mandante
23,58.32,90.58,12.03,287.2,238.2,44.73,45.71,-0.7700000000000001,248.8,135.9,vitoria_mandante
23,54.96,41.35,-3.8,429.5,227.1,50.0,62.85,-1.11,331.1,195.7,vitoria_visitante
23,68.06,84.35,3.42,497.8,315.3,59.19,52.47,-0.1599999999999999,433.1,333.0,vitoria_mandante
23,52.64,65.54,4.91,199.3,233.6,62.8,72.0,1.93,419.9,338.5,empate
23,48.07,58.36,1.95,383.8,281.0,60.01,59.24,-0.4499999999999998,406.5,288.4,empate
