rodada_id,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,resultado
11,50.69,50.96,-1.05,216.8,74.0,60.89,39.27,-5.6,259.0,209.0,vitoria_mandante
11,46.34,58.82,-1.38,143.7,152.3,50.32,73.85,10.24,180.5,120.0,empate
11,33.77,13.75,-5.55,136.1,62.5,55.92,69.73,-0.93,153.7,188.6,vitoria_visitante
11,33.45,17.0,-6.3,161.7,66.1,59.67,92.31,6.06,288.6,190.0,vitoria_visitante
11,60.54,77.47,5.15,318.1,165.6,47.78,27.05,-9.11,201.4,175.79999999999998,vitoria_mandante
11,49.99,51.0,1.4299999999999995,277.2,162.79999999999998,47.22,52.8,2.87,209.6,143.2,empate
11,50.9,57.82,0.4499999999999999,231.2,139.5,46.37,54.87,-0.9699999999999998,166.8,178.0,empate
11,72.74,90.35,1.47,280.5,295.7,52.05,58.8,-0.9699999999999992,182.5,126.7,vitoria_mandante
11,53.55,51.4,1.7799999999999998,290.2,136.9,45.82,48.11,-2.66,203.3,101.0,vitoria_mandante
11,63.51,83.58,12.44,215.9,157.1,54.85,30.11,-6.01,229.0,146.5,vitoria_mandante
