rodada_id,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,resultado
2,91.11,45.55,0.0,38.1,23.8,58.2,29.1,0.0,50.60000000000001,53.3,vitoria_mandante
2,59.07,29.53,0.0,43.300000000000004,25.1,13.36,6.68,0.0,23.0,1.3999999999999995,vitoria_mandante
2,51.79,25.89,0.0,37.2,39.5,30.63,15.31,0.0,15.0,7.8,empate
2,49.27,24.63,0.0,25.1,7.699999999999999,44.95,22.47,0.0,54.1,18.0,vitoria_mandante
2,35.67,17.83,0.0,21.0,32.6,66.56,33.28,0.0,28.2,36.0,vitoria_visitante
2,63.84,31.92,0.0,62.8,16.799999999999997,33.6,16.88,0.0,30.8,11.899999999999999,vitoria_mandante
2,40.25,20.14,0.0,25.1,11.00,38.5,19.25,0.0,43.8,13.5,empate
2,104.95,52.47,0.0,49.2,48.9,33.76,16.88,0.0,21.6,40.7,vitoria_mandante
