rodada_id,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,resultado
1,88.41,44.2,19.61,37.5,40.099999999999994,19.53,9.76,-6.81,9.7,2.76,vitoria_mandante
1,18.63,9.3,-1.43,16.8,10.3,34.48,17.24,-8.1,29.1,9.29,vitoria_visitante
1,54.37,27.18,3.01,13.4,36.2,47.91,23.9,-6.41,12.3,31.400000000000002,empate
1,39.8,19.9,0.7,27.7,6.8999999999999995,20.03,10.01,-7.16,13.8,3.2,vitoria_mandante
1,28.86,14.43,-6.17,16.400000000000002,8.7,35.28,17.64,-1.23,19.5,10.3,vitoria_visitante
1,69.9,34.95,2.07,56.9,9.3,25.55,12.77,-2.01,14.500000000000002,5.999999999999999,empate
1,54.21,27.01,0.26,36.800000000000004,11.299999999999999,28.2,14.1,-6.77,20.1,4.6,vitoria_mandante
1,22.87,11.43,0.26,9.7,9.799999999999999,31.75,15.87,1.85,20.4,7.999999999999999,empate
1,48.72,24.36,2.76,29.9,12.5,81.18,40.59,1.66,27.8,12.9,vitoria_mandante
1,34.18,17.09,-3.05,21.8,19.0,31.75,15.87,-1.07,18.3,5.0,vitoria_visitante
