rodada_id,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,resultado
8,50.17,36.0,-1.7499999999999998,136.2,85.2,32.46,44.62,2.1899999999999995,114.6,47.2,empate
8,36.27,38.96,-5.88,128.2,62.9,51.61,44.95,-2.0,168.9,120.8,empate
8,52.92,88.82,5.38,159.1,140.9,49.03,28.15,-5.1,181.9,63.0,vitoria_mandante
8,52.51,35.24,-9.04,168.3,111.3,46.16,49.55,0.0899999999999997,145.7,106.1,vitoria_visitante
8,50.36,70.38,7.97,176.10000000000002,89.4,20.75,35.45,2.54,52.9,26.9,vitoria_mandante
8,60.41,71.80000000000001,-2.7600000000000007,220.7,99.4,37.16,31.31,-1.07,82.8,33.5,vitoria_mandante
8,54.45,51.93,2.48,98.5,103.1,72.22,52.36,-3.75,217.8,133.5,empate
8,63.09,84.45,8.76,209.6,158.0,46.99,34.25,-1.2800000000000002,118.2,57.9,vitoria_mandante
8,61.3,70.18,7.02,169.5,141.2,48.85,29.130000000000003,-5.73,149.6,108.1,vitoria_mandante
8,60.57,92.42,7.0,152.0,199.9,39.65,26.07,-4.67,157.2,101.3,vitoria_mandante
