,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,KNN,SVM,Tree,RF,NB,,,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,TOTAL
Rodada 16,"100,00%",,,,,,,,,,,,,,,,,
Rodada 17,"100,00%",,,,,,,,,,,,,,,,,
Rodada 18,"100,00%",,,,,,,,,,,,,,,,,
Rodada 19,"100,00%",,,,,,,,,,,,,,,,,
Rodada 20,"100,00%",,,,,,,,,,,,,,,,,
Rodada 21,"80,00%",,,,,,,,,,,,,,,,,
Rodada 22,"100,00%",,,,,,,,,,,,,,,,,
Rodada 23,"100,00%",,,,,,,,,,,,,,,,,
Rodada 24,"100,00%",,,,,,,,,,,,,,,,,
Rodada 25,"100,00%",,,,,,,,,,,,,,,,,
Rodada 26,"100,00%",,,,,,,,,,,,,,,,,
Rodada 27,"100,00%",,,,,,,,,,,,,,,,,
Rodada 28,"100,00%",,,,,,,,,,,,,,,,,
Rodada 29,"100,00%",,,,,,,,,,,,,,,,,
Rodada 30,"90,00%",,,,,,,,,,,,,,,,,
Rodada 31,"100,00%",,,,,,,,,,,,,,,,,
Rodada 32,"100,00%",,,,,,,,,,,,,,,,,
Rodada 33,"100,00%",,,,,,,,,,,,,,,,,
Rodada 34,"100,00%",,,,,,,,,,,,,,,,,
Rodada 35,"100,00%",,,,,,,,,,,,,,,,,
Rodada 36,"100,00%",,,,,,,,,,,,,,,,,
Rodada 37,"88,00%",,,,,,,,,,,,,,,,,
Rodada 38,"100,00%",,,,,,,,,,,,,,,,,
TOTAL,"97,90%",,,,,,,,,,,,,,,,,
