rodada_id,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,resultado
28,64.01,47.15,-2.02,644.0,426.8,56.27,28.8,-8.58,570.4,236.9,vitoria_mandante
28,54.37,44.290000000000006,2.37,436.7,271.7,50.25,54.45,4.47,415.5,267.7,empate
28,64.23,81.17999999999999,3.59,543.2,453.7,43.59,31.85,-2.3600000000000003,367.9,326.9,vitoria_mandante
28,39.32,75.73,8.99,282.7,254.5,53.34,29.02,-1.19,487.9,344.7,vitoria_mandante
28,60.44,75.4,3.97,590.1,356.3,58.04,31.55,-11.3,524.5999999999999,307.4,vitoria_mandante
28,51.71,50.4,1.0699999999999998,371.6,441.6,52.35,31.85,-1.06,466.6,450.3,empate
28,53.98,64.71,-1.6599999999999997,445.4,246.5,48.89,50.4,-1.6700000000000002,537.8,335.4,vitoria_mandante
28,55.79,84.13,6.57,677.8,464.1,46.38,33.93,-3.54,455.1,268.5,vitoria_mandante
28,58.0,80.3,1.99,524.9,354.6,50.76,46.47,-2.7700000000000005,482.5,370.0,vitoria_mandante
28,70.25,77.47,2.2,592.1,399.6,60.59,56.84,1.7399999999999998,417.6,324.5,empate
