rodada_id,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,resultado
22,60.6,71.8,0.6200000000000001,411.9,374.9,40.6,26.4,-3.52,332.40000000000003,198.1,vitoria_mandante
22,41.94,33.16,-0.07,257.1,227.6,67.25,69.95,3.24,275.8,210.1,vitoria_visitante
22,48.48,87.51,9.09,292.1,184.4,62.58,54.22,-2.0800000000000005,359.8,311.8,vitoria_mandante
22,60.620000000000005,85.22,5.82,345.8,202.7,44.67,35.78,1.05,335.2,196.3,vitoria_mandante
22,71.03999999999999,55.2,-1.37,613.4,350.0,62.02,34.58,-3.51,444.3,294.8,empate
22,54.64,88.05,5.43,541.2,276.9,44.14,28.58,-7.109999999999999,370.7,238.6,vitoria_mandante
22,47.57,53.35,0.8400000000000002,257.6,153.79999999999998,57.38,56.73,3.5,409.4,319.4,empate
22,65.19,68.95,-1.4700000000000002,404.1,361.5,55.39,59.45,-0.44,360.20000000000005,253.5,empate
22,61.83,48.870000000000005,-2.2,441.1,305.9,52.14,45.82,-3.19,446.9,198.5,empate
22,56.28,78.02,3.0000000000000004,403.7,366.9,49.92,26.84,-7.640000000000001,311.2,237.0,vitoria_mandante
