rodada_id,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,resultado
32,53.63,72.33,3.4,444.6,387.2,40.63,51.38,2.69,358.0,408.3,empate
32,59.04,27.16,-5.23,662.5,349.5,67.1,103.0,8.459999999999999,703.5,520.8,vitoria_visitante
32,53.71,51.6,-6.92,606.6999999999999,415.0,55.68,56.2,-0.99,665.4,481.8,vitoria_visitante
32,63.54,99.51,2.45,631.1,504.2,69.88,44.4,-1.6500000000000004,913.3,581.9999999999999,vitoria_mandante
32,52.89,29.56,-5.8,671.6,492.0,60.22,106.82,7.33,686.5,404.8,vitoria_visitante
32,67.36,99.51,4.97,645.6,357.2,50.01,32.29,-3.4000000000000004,570.9,420.1,vitoria_mandante
32,74.55,116.42,5.99,731.7,497.6,50.82,20.73,-9.67,483.3,550.3,vitoria_mandante
32,46.61,77.36,5.19,510.7,334.8,50.08,33.27,-5.68,410.6,319.6,vitoria_mandante
32,52.83,33.38,-0.48,567.3,475.7,55.37,69.95,-0.6899999999999998,387.7,380.4,vitoria_visitante
